Card number,3rd LPN,2nd LPN,License plate
1049,,XLY217,1XLY217
486,,EU63KYX,200GRE
344,,,207705
170,,,207706
856,,,2077381
18,,,211488
911,,SI5,215315
105,HW55FSX,BTO48DN,215ESB78
930,,,216415
,,GY68TVT,246HRH
61,,,269D674
135,,,269D725
1013,,,28FF
677,DO218,JO218,30218
,,,3395DG
550,,,39636
767,,,4044364
248,,,413XUU
579,,,43282
1034,,4494T4,449414
1027,SB0,SS0,5460
850,,,55099
754,,S5151S,551515
629,B5333,?55333,55333
684,,,57929
1015,,,63906
76,,,66666
1021,,,7085LCD
836,,,7492KNF
711,,B7848,767948
743,,,790UYY
1036,,,7969
935,,,796940
775,B2887,BI2887,812887
,,GT18GLF,83TEP
744,?29332,293329,?293329
,,,A16SEJ
,,RE59BVF,A1KUF
1059,,,AAO09YN
,,,AD10ROX
,,,AD12ASO
,,CA08EZJ,AD590VE
478,,,ADC10
998,,,ADC10
,,,AE15ZWD
,,,AE15ZZP
207,,,AE17TGV
534,,,AE63BWW
1044,,,AE68BDF
,,,AF08YJY
,,HJ11NVE,AF10MDK
55,CK06GJZ,CA07YDU,AF59XEL
,,HV18VEX,AF64CYX
,,,AF64CYX
,,,AG04GUF
,,,AG09AUM
-4,,,AG09SXM
3,,,AG19GDE
,GL62SZX,S66BPW,AJ16JKF
,GL62SZX,S66BPW,AJ16JKF
,,,AJ55VCM
,,,AJ55VCM
149,KS08HNB,CT11BLK,AJ59YWG
23,,,AJ67DSE
275,,,AJ67HWK
380,,,AK11YHR
,,,AK14WHJ
405,LJ19ZNR,LD66HNY,AK18JWK
,,,AK56WEA
,,,AK58OYX
,,,AK64XXZ
-5,,,AM03ZWU
1008,,AMI6055,AM16OSS
,,,AN08JZA
278,,,AO09KAZ
270,BUI88,MX61JXB,AO12NRZ
,,LE16CZH,AO61BOF
898,,,AO61YCJ
157,OV58OGD,KM11VDZ,AP65ETE
387,,,AR05DVW
952,,,ARNDJ720
62,,,ARNDT720
,,,AU13XRO
773,,LF16OFL,AU67RKA
835,,,AX12KAO
936,,,AX15EWP
1,,N376FKW,AX60TYV
,HX57UEC,MM55BZN,AY06ZWK
17,B32,B179,B150
,,,B18MWL
79,882RTV,518RTV,B82RTV
73,,,B9JMC
74,,,B9JMC
32,,,BA55ATK
1033,,,BB5
,,,BD06KZB
120,,,BD12RWF
869,,,BD52EFS
714,,,BF09AVN
,,,BF58THK
,,RJ67UOV,BF61JGO
81,,,BF62LDK
,,PF64OMK,BF62VNT
,,,BF64WHT
303,,,BF69DME
1012,,,BG12VAP
,,,BG660JN
82,GX67KXM,BT15RLX,BGG3
,,,BH19EYD
,,,BJ13ULN
,,,BJ58HFX
860,,,BKO347
951,,,BL65EEB
,,,BN59YLX
,LD67ESN,LN67ZFA,BP67NXK
,,EF56ADV,BT08NHE
517,,,BT17ZNX
,,,BT64KAE
913,,,BT68FNZ
857,,,BU64VSL
,,,BU67CZR
,,,BV05GRZ
34,,,BV12JUF
538,,,BV12JVF
63,,WA09AYX,BV59ACF
,,,BX10LKN
1025,,,BX19UXV
446,RO69FYE,AC02JEF,C10AJK
826,,CA877,CA677KA
,,HJ51XDO,CE17FHD
,,BJ64LCW,CE17FHD
,,,CE51KWU
,,,CE61HBK
,,AG03EJG,CG03EJG
,WD18SWF,DC65TVK,CK64MYO
85,CL55BIU,R321BRU,CL55BRU
,,,CP07ESG
12,,,CU17EYT
907,,,CU68PRZ
,,,CV56CXR
,LW17TDX,YL65KGZ,CV63RTX
,,,CX11FRJ
929,,,CX18YSA
98,,,CY291MA
,,,CY65EWC
21,,,D10JRO
824,,,D12VNL
436,,,D19RCA
57,,,D2JWB
45,,,D3HSH
41,,,D3TKA
,,D9JEG,D6JEG
1064,,,DA09XYS
56,,,DB51APR
,,,DF63HZT
,,,DG58CMV
,,,DG58NWF
47,,,DG60FWJ
175,,,DGC985S
955,,,DK12EHN
,,,DK502GX
,BL10LEJ,SL62NRZ,DL10LCJ
,,,DL64WRJ
,LB18CXX,AF59KHJ,DN18VGO
,,,DN55UTZ
,,,DP67LUE
,,,DP68EVX
,,D519FAU,DS19FAU
,,,DS69DTF
,,,DT19AVC
,,,DU05OPB
62,,,DU08EXV
,HG58OSP,DL15FXC,DU15FXG
,,,DU62TVJ
,,,DV07DMA
820,,BV52FLH,DV52FLH
,,,DX13XKY
,,,DX64VXO
,,,E063KSZ
,,,E069BHU
71,BK68OVE,BD17ODM,E11HSH
90,,,E132 XUG
46,,,E1HSH
,,,E1SVT
53,,BK68OUH,E3HSH
-39,,,EA07LKV
934,,,EA10OAQ
,,,EA16ZBE
,,,EA60BEO
,,,EA64MRO
681,,,EF09FYH
,,ET16CNA,EG19CYV
827,,SYE77,EG53YE77
,,,EJ57KNZ
,,,EJ63FFZ
,,,EK02NMU
,,,EK07XAA
514,,,EK63HCZ
,,,EK68VVJ
,LR17DZD,,EK68VYV
,,,EN56WRG
,,,EN57YZT
,,,EN59BVA
,,,EN64VUG
,,,EO16KBX
646,,,EO16VKP
883,,,EO17UWA
,,,EO58VUR
,,,ET16UCU 
,,ET56GXB,ET65GXB
1046,,EA19OGR,ET67FFA
,,,EU16URV
828,,,EU16WHF
991,,,EUSR1148
,MH08EKL,SH63XXX,EW10JLY
,,,EX08FZO
,,,EX09JVW
133,,KE15JHH,EX13VVG
,,,EX66ONF
,,EY15ZXL,EX66YPN
,,,EX68PGF
,,NX66LLV,EY14WCN
1045,,,EY19OGR
,,,EY62TKJ
1074,,,F11ASV
,,GY17PNU,F11JRD
,,,F1GJF
269,,,F8RWD
,,,FA15FXJ
39,,,FA15OXT
,,,FD65XMM
,,,FD66MUV
,,,FG67AAU
,,LV16UMZ,FH12NXE
1041,,,FH64VHU
,,,FL18WVX
690,,YC64TXR,FL61KDU
854,,,FL61ZNW
,,,FL64ROH
,,,FM08UNR
19,,,FN09EKH
,,,FN61PNZ
,,,FN64LWC
,,,FP02BRF
,,,FP09CKD
,,,FP66WVN
,,,FP68SXM
,LY12CXT,GF60XTN,FV12DXO
,,,FV68MGO
,,,FX64KRJ
1068,,,FX64MHJ
,,,FX65UVY
,,,FY65CNV
834,,,FY66LZA
215,,,G588JSC
608,,,G5OYT
,,,GC16PHY
804,,,GC17WOM
,,,GD08HSO
,,,GD19GUK
778,,,GE18BVP
450,,C7CBB,GF07OBB
,,,GF14EMX
,,,GF19WVU
639,,,GF63EPV
,,,GF66SXU
,,,GF67LWZ
1017,,,GJ06VNO
,,,GJ07XKP 
77,LJ19ZPY,LM13PCF,GJ11GJG
136,,EK58NGV,GJ11XJL
,,,GJ12XYC
,,,GJ16MLN
,,,GJ18WGZ
,,,GJ62VHH
,,LG11LGF,GJ65OAP
,,,GJ68YZE
,,,GK13TNN
,,GY13UKW,GK14NDE
1048,,,GK18NCA
,HN10KHR,NG57CWD,GK56WZV
,,,GK59WYV
,,,GL15AZD
1023,,,GL17OWJ
-13,,,GL19TNJ
,,,GL66OEP
,,HF15VOD,GL69YUN
946,,,GM14FBF
70,,,GM18POU
,,,GM19UUX
943,,,GM68WXG
,,,GP04XZL
1066,,,GP54TRX
330,,BG65OJA,GU07UVM
,,,GU16WTD
,GY17PNU,F11JRD,GU18AHG
,,,GU62UTP
298,,,GU63RYZ
150,,EK63FRR,GU64SDO
699,,,GU66OFL
,,,GV61FKD
,,,GX06PZR
,,,GX13VZZ
,OE67AYF,GP57NEN,GX14ZBY
,,,GX19UHH
44,,KL02AOB,GX53OWZ
,,GX64OYO,GX64OYG
,,,GX66RLU
1058,,,GX68YKD
,,,GY09RWF
1029,,,GY14FRN
,,,GY18NLD
810,,,GY18VUF
21,,,GY58ZLK
,,,GY60LHV
47,,,GY60POA
452,,,H1YXX
,,,HD07EVM
763,,,HD19LLM
,,,HE10GWA
,,,HF14GHA
,,,HF53EXH
,,,HF68HUA
,,,HG16KMJ
712,,,HG17HZU
,,,HG65UUR
963,,,HJ13VJZ
,,,HJ61JRX
323,CV06POU,WN18NKE,HJ64UFZ
266,,,HK12FEU
,,,HK12JPO
,,HK63XGV,HK63XGS
,,,HL19YGT
,,,HN10HZM
683,,,HN16JKK
129,,,HN55VZS
915,HO64,HU64,HO64AT799
,,,HR19TXT
,,,HS19YHA
2,,,HT16UPC
813,,,HT69LYW
,,HV68HRK,HU68HRK
87,PJ57UOY,HY57PLF,HV05WBW
,,,HV13ZKS
,YG61RWK,LD07OHA,HV17SUH
,,,HV56YPP
940,,,HV59PUX
,,,HW06HVC
,,,HW56GZD
580,,,HX15PXE
5,,,HX15PXE
906,,,HX17YYG
,,,HY06WKK
980,,,HY07OLB
,,,HY09PHU
,,,HY14LDZ
-17,,,HY17SOJ
,,,HY20HFJ
,,,HY67VVJ
,,,HY68RBU
,,1111,IIII
605,J1YYH,66TXC,J1YHH
556,,,J4CCY
989,,,J4ESJ
,,,J77GKB
311,,,J800FOX
812,,,JJZ4979
,,,JT13ALD
672,,,K15OLG
809,,OIB430,K666SDR
110,,YP58LVL,KB57ZTM
497,,,KC15BGV
,,KC54VEP,KC54VCP
,,HEZ7478,KD01
,,,KE14NVL
1009,,,KE15UXH
1053,,,KE18DVW
,,,KE18HBZ
901,,,KE66HYU
704,,,KE68DFO
1047,,,KE69CVA
,,DR64TES,KJ17FKV
519,,,KK17EUH
,,KJ68CLF,KK18SBV
24,X965FKK,MT54KTF,KL06XGK
765,,,KL19VRT
,,,KM09CLV
98,,RX55SZZ,KM62XMF
217,,,KM64SWX
,,,KN56KKJ
104,,,KN59OEA
279,,,KN67HHG
1072,,,KN69ZBW
,GD65WFG,RV05XNK,KO09DZG
996,,,KO18FNT
89,,,KO67GJF
817,,,KO67YLM
,,,KP11TFZ
78,,,KP13WFH
,,,KP14YBY
36,,,KP62UEZ
1050,,,KP67BZA
,,,KR08VHM
776,,,KR13CPN
597,,,KR16OAW
444,,GF69UKM,KR66LKJ
,,,KRZ4201
,,,KS08BBF
,,,KS12OPU
1002,,,KS15YYE
,,,KS17OPV
,,T3NPO,KS63HBY
137,RK63CKV,KB15FLY,KSB735
203,,,KT09NNW
,,,KT17JXL
652,,,KT59VFM
740,,,KU04LHR
35,,,KU19VXV
945,,,KU68VOO
84,OU14NNW,GU06FCO,KV11UEB
917,,,KV13ZWB
,,,KV58CYC
833,,,KV68ZPM
,,,KW13CSX
,,,KW13FRU
,,,KW64RKN
947,,V8NOP,KW66UPT
1063,,,KW67ONV
642,,,KX15OUH
1057,,,KX16VNK
,,,KX18GAD
,,,KX67WHB
109,,,KY03XDJ
,,,KY16DZU
15,,LD16ONK,KY19FOM
377,KF68OWX,BD05TWK,L4EOG
,,,L60SMY
,,,L66PMD
,,,L88YAU
,,,LA05GYW
,,,LA11ERK
306,,,LA17ONC
,,,LA19ODF
976,,,LA19OTG
152,PE13EWF,LG09YPY,LA69LZM
14,,,LB04BWA
147,,LB12AJX,LB07AMR
121,,,LB11EBN
343,,LB12TCD,LB12TCO
762,,,LB17JYZ
1011,,,LB17KPE
,,,LB17MFA
,,,LB18CVX
,,,LB18MMV
,,ou14xbw,LB64ENR
900,,,LB65LFR
766,,,LB66EOO
,,,LB66TUY
,,,LB67GVC
78,,,LB67UZG
741,,KO19VNX,LB68CZA
,,,LB69CKO
104,,LG68FHH,LB69NWR
46,,,LB69VUA
30,,,LC07YWW
,LK66YHM ,YK59OFS,LC13WRA
,,,LC14AUL
,,,LC14CKO
814,,,LC15JXX
,LT06CZL,H919AGX,LC17JZT
69,,,LC18CEF
965,,,LC19LBH
,,,LC19OFS
,,,LC51WDM
407,,,LC57GVO
1010,,,LC60VGO
,,,LC61NRV
,,,LC62AYD
,,,LC62OZD
,,,LC64KHM
190,,,LC64VGE
,,,LC65YOW
,,,LC67BJE 
899,,,LC67BJZ
979,,,LC67DND
601,,,LC67ETE
,,,LC68BVN
,,,LC68BVW
,,,LC68BVX
,,,LC68NGZ
624,,,LD02CFK
,FD59KMZ,DG60NVY,LD07GLZ
,,DG60NVY,LD07GLZ
,ET16UCU,RO09GOU,LD07KDJ
255,,,LD09OKP
,,,LD14HZM
,,,LD14WYC
,,,LD15FTO
,,,LD15FUH
86,,,LD16RZB
292,H1CRG,LG64DFA,LD17CRZ
45,,,LD17UZM
240,,,LD19GXD
30,,,LD19WLK
,,,LD20HRC
101,,,LD58OXL
288,,XX11SHS,LD62PFK
86,,,LD63EOH
,,,LD64UPP
,,,LD64UPP
4,,,LD65LBZ
536,,,LD66BCV
,,,LD66XVF
964,,,LD68MXU
729,,,LD68UTA
132,,,LD68UTC
85,,,LD69 OYS
,,,le15wfj
69,,,LE56CVS
1073,,,LE57HCZ
9,,,LF06ULX
,,EK15AON,LF09ZKO
235,,,LF13AVG
276,,,LF13OGE
231,,,LF13YTT
284,LF14HSL,F14HSL,LF14HSU
201,,,LF15VGZ
,,,LF16EBA
,,,LF16EBA
71,,,LF16RCO
,,,LF16YTO
211,,,LF17EYM
31,,,LF17LRX
719,,,LF18FYS
236,,,LF18VJZ
800,,,LF19AXS
,,,LF19NMT
345,,LG02TFY,LF51NYS
,,,LF63OHZ
937,,,LF63SYH
,,LF64UYW,LF64UYV
3,,,LF64WJM
375,LV65WLG,LP12LMN,LF64XFB
2,,,LF65OTA
324,,,LF66LCO
665,,,LF66XMH
,,,LF66XOU
13,,,LF67ECX
,,,LF67ENE
-7,,,LG08JUK
475,,,LG09HZC
,,,LG10HAU
116,,,LG10SUF
,,,LG10XNY
74,,,LG11YKL
,,G12GLJ,LG12GLJ
200,,EO64EHX,LG13PUX
,,,LG14APX
,,KM09CLV,LG14GXV
7,,,LG15WFF
66,,Y874HDM,LG16AWY
649,,,LG16EYA
209,,,LG17ZVW
,,,LG18DRZ
,,LG18WUE,LG18VUE
,,,LG18YUN
81,,,LG19HVA
93,,LJ69TOU,LG20KPT
250,,LG55EDK,LG55EBK
26,,KS07EUC,LG58RVF
202,,LF68YHP,LG61AOV
155,,DE63PZR,LG61NBB
305,LB69LGO,RX16BZR,LG62EYR
112,,,LG62HUJ
115,,,LG62TKF
,,RK15UGE,LG63EHL
713,,MU18HTD,LG63NHC
,,,LG63YSZ
320,,,LG65UAN
,LL15XOJ,YH67YUD,LG67VRY
80,,,LG69EOS
1001,,,LG69VRZ
293,,,LG69WMO
764,,,LH16AKN
124,,,LJ04KOL
691,,,LJ14VJN
261,,,LJ15USY
79,,,LJ17BLN
117,,LT57BVH,LJ17XYT
,,,LJ18OTD
721,,,LJ18ZWA
969,,,LJ19ZOX
77,,,LJ20CFG
310,,,LJ51POA
154,HY07OTB,WP13GZE,LJ56ELO
94,,,LJ57ZZP
158,,WR09UBG,LJ57ZZP
598,,,LJ67WSO
702,,,LJ68XNP
24,,,LJ69 CVR
,,,LK13OES
723,,,LK16UYG
141,,,LK19OHX
,,,LK51MGO
973,,,LK64XGH
,KX67OJA,EN06AUR,LL11XRE
,,GK58XMB,LL12OSD
,,,LL17JOH
950,,,LL18VNW
,,,LL19WTP
,,,LL60OSD
,,,LL65VCN
148,,,LL67RYU
,,,LM10SVX
48,,DXI911,LM11GWE
238,,,LM11KNV
,,,LM12RVC
,,,LM13VLZ
8,,,LM16OPV
,,FY18SZR,LM19RJV
-8,,,LM57LLV
,,,LM60BBU
676,,,LM67VOJ
,,,LN03VWC
832,,,LN06ZFL
607,,FD67DFK,LN19NRF
27,,,LN67XRY
67,,,LO10MTV
89,,,LO12XGJ
,,,LO13TKC
325,,,LO16EZE
,,,LO16UHZ
,,LB17CLO,LO17CDZ
,,,LO63RPZ
,HN16SMU,AG03EJG,LO63THF
,,,LO63YCK
769,B8NEV,168NEV,LO65HTV
1071,,,LP15JVN
,,HY57XYK,LP15SKJ
,,,LP15TOA
733,,,LP18MME
352,,FT11ZXK,LP60OAK
107,,,LP61KHL
223,,,LP62RJV
,,MW07HUB,LP63EUR
225,,LO19ZKJ,LP64KSF
,,,LP65FNM
808,,,LP68USE
,,CU53OBB,LR12BVD
660,,,LR12MWO
,,LX63OEZ,LR14XTC
,,,LR16UBU
,,,LR59TZO
,,G8TDT,LR63BYD
1032,,,LR64HDU
,,,LR66KRN
,,,LR68PZA
,,LS03ZWK,LS03ZWX
404,,,LS13MBF
903,,,LS13XUR
,KX63BWB,HY10CUV,LS14APU
,,,LS57WNC
51,,,LS60BYY
968,,,LS60UCJ
,,,LS60XDX
,,,LS64OWY
,,,LT06SLV
26,,,LT09EKH
31,,,LT09WJM
698,,,LT16RTV
,,LG16EDF,LT20DXK
339,,,LT54HYN
725,,,LT58MMF
,,,LT67TKD
,,,LT68JXZ
994,,,LT69VEX
6,RJ62WDX,RA55XOR,LV07LVY
715,,,LV11NTE
,,,LV18XKM
,,,LV51YWP
,,LV56ADY,LV56AUY
,,LV07WZK,LV63WXS
618,,,LV64FYC
,,,LV67XNK
,,,LV68BHX
,,,LV69HLE
1043,,,LW17DTN
858,,,LX12OMZ
,,HK69PGX,LX17SMV
,,LV61HYG,LX62TGK
,,,LX64NVE
,,,LX69WHT
,LJ54YOM ,HV56VNY,LY07SHV
,,,LY16LTV
,DJ03CAR,LG68ZSX,LY18EXT
1037,,,LY18OKP
,,,LY54UCL
,,,LY65HLJ
,,,LY65PDZ
559,,,LY66HYR
602,85RB,X12RSA,M4OGK
,YJ14VHW,KS07XAF,M77TJP
,,,M999SJF
,,EA10VFO,MA11WFY
,,LW04RSY,MA11XKR
,,,MA12GMG
928,,,MA12YBR
,,,MA15ZYE
,,,MA20TWX
925,,,MCW5479
25,,,MD14XFL
1,,,ME11ECE
,,,ME19UYF
38,,,MES466
,,,MF05UHC
962,,,MF14MWP
,,,MF60YAU
825,,,MF65OVK
138,,,MH63UNY
,,,MK08BHL
125,,,MK65XTR
257,,,MK67AFY
,,,ML15HLX
,,,ML16APV
,,,MM68YYT
,,,MM69NLL
927,,,MN56WJK
944,,,MNF1533
668,,FT6440,MRT6440
335,,,MSU444
,,,MT06LLU
,,,MT10YGG
1040,,,MT16CVC
,,,MV19NEF
,,GL16FDF,MV64KYX
593,,,MW14MCV
957,,,MWC9047
461,VU118YSW,VU18HSW,MX14SYR
,,,MX17BGE
205,,,N18WLF
831,,,NA05CZO
,,,ND14FPG
,,BG62VRP,ND62CHN
,,,NH04ZCE
224,,,NJ64GLX
918,,,NJ64KNH
,,YD63BYC,NL13ZRE
,SF19WNO,F2JTN,NNO383P
,,,NV06EVT
,,,NV10LTY
,,,OE14ZNS
,,,OE17BND
,,,OE17XCP
,,,OE17XCP
,,,OE19PMV
1030,,,OE65ZKH
949,,,OO04GWL
54,LN14AXZ,RJ63LPK,OO07LOT
40,,,OO07MOO
156,,,OU17YDL
,,BU68GMY,OU68GMY
,,,OV08OCA
,,WT17BZS,OV13FHA
645,,,OV61PKK
544,,,OV65MWO
,,,OV67FWK
655,,OV11CCD,OW11CCD
,,,OW17JVE
,,,OY07SCZ
,,DN18DXS,OY09VCP
,,MT17AMG,OY14GNO
1007,,,OY18DSU
,,,OY19EVU
420,,,OY65WDG
,,R12YPK,OY66RMX
895,,OY67XGL,OY67XGU
,,,PE18EWS
,,,PE18SKF
,,,PF17YCX
871,,,PF65WDN
,,,PG03JSX
,,,PJ14CYV
923,,,PJ15XEL
939,,,PJ16YKB
254,,,PL66XNV
,,,PN13YPG
,,LX55SXH,PP55CGS
,,HJ10UZE,PX11HNO
10,,,PY64FXB
,AR10SXX,LV15LFG,R10SJJ
606,,MP14RUS,R14GNO
23,,,R521DSG
456,,,R642LDD
,,,RA16ZDT
,,,RA57MLV
,,,RA65WLP
,,,RA66LZW
,OY14VKM,ALC429,RE11NNX
,GX17NVB,GX17NVO,RE12JMV
,,RE69XZA,RE18OYV
,,GF19OYH,RE19SXZ
,,,RE62VMA
,,GF19YED,RE64KLJ
,,GU12HXY,RE64MBF
,,,RF07HME
,,,RF10AKK
,,,RF14ZBG
,,,RF17DXB
,LY16YWO,OY62OLC,RF18CCU
1069,,,RF19NZA
,,,RF54AWH
,,,RJ05KXW
,,,RJ10JJU
,,,RJ11KGV
83,,,RJ16XYD
703,,,RJ16XYD
739,,,RJ17WXL
18,,,RJ61UGU
42,LN14AZX,T1GUL,RJ63LPK
,,,RJ69SVF
37,,RL05VYP,RK05VYP
,,,RK07YAV
,,,RK09ZZV
,,,RK15HKU
578,,,RK16LUF
,,,RK51AKZ
,,,RK61XMU
1026,,,RK64KUS
,,,RK68PYX
,,,RL04HBU
,,,RN05OSZ
,,,RN19SSX
,,GH15GXK,RN19VTZ
28,,,RN55DGO
,,,RO12LCZ
,,,RO13PVD
948,,,RO51NXD
,,,RO57WMM
,,HA51SLK,RO60VFP
-36,,OU64NEJ,RO64FGU
717,,,RO64HRA
,,RO12RUA,RU10FUG
495,,,RU11MSH
,,,RV58WNY
,,,RV66FFJ
1019,,,RV67UPR
,,,RV67YBU
399,,,RX04LSC
,,,RX14PNF
,,,RX14PNF
,,,RX16FRC
,,,RX20XYR
,,,RX63TCZ
,,,RX63YXY
,,,RX64RHU
,,,RX66OSY
216,,,RX68TWL
,,,RY04EZN
977,,,S111DXB
,,,S1MOF
111,LG66JJF,BB09ROY,S24BBR
33,,,S4UDS
134,,,S55SFH
,,,S658MLO
321,MT14XAL,LV18XZX,S77NJC
128,,RK61WVB,S888CPH
,,,SA63EGU
,,FJ14ZPN,SA68YTE
,,,SB09LML
,,FJ14ZPN,SC05ZNL
363,,,SD09ZTZ
,,,SD13OUV
36,,,SD68ZZF
,,,SE17BOU
,,,SE60HAO
,,,SF11JJF
558,,SF15XLC,SF15LXC
583,,,SH11EGH
139,,,SH51HLD
,,,SJ58ZEE
,,,SJ63YHT
,,YE67XXA,SL53MEL
,,,SM03NPJ
153,,,SM05YLR
,,SMD5,SM06OCO
,,,SM62KBF
747,,,SN14ORL
-46,,,SN63CZK
,,,SP12YXY
,,,SP60OHH
,,,SP62WCW
671,,,SR14MUA
,,,SSA933
212,,,ST14WLO
,,RA19KZU,ST15FSP
118,,GV65HNN,SW08EVC
295,,,SW15HWA
,,LS64VNY,SW60HYF
230,,J4CCY,T414KKL
,,,T431NAD
,DG3955,23AK,T7ASK
11,,,T912XO197
,,R99AMD,T99AMB
953,,,TBC
92,,,TBC
995,,,TFAK1111
,,,UR10RDX
933,,,V11PHA
866,,,V173EYB
16,,,V2HSK
17,,,V3HSK
,,,V3PDP
,,,V6RDF
65,,,V888LAN
,,,V8BCW
90,,T777MVA,V98HLB
40,,,VA18FKT
730,,,VA64OAG
,,,VD19ESH
-2,,,VE13VMA
102,,,VF12JWP
213,,,VK11XCM
,,,VK18GBX
,,,VK18ZLY
,,,VN15KWO
,,,VN20CKA
1035,,,VN63NKF
,,,VO14AAE
27,,,VS378770
144,,LD64SCZ,VS423239
,,,VU64URB
,,,VU65LHN
,,,W121JPC
222,,FX15OVE,W826NGM
931,,,W88JES
,,,W8RJP
666,,,WA12OCK
,,,WA16XZP
,,,WF10BGK
123,,,WF12ESY
,,,WF64WXB
,,,WF69UMY
,,,WG19FVD
1022,,,WG64GXD
515,,,WK14ABK
,,BN57YHZ,WK54CZA
,,DG11UMO,WM04MFU
95,,,WM10ZXT
1014,,,WM19RWF
249,,,WM63MVW
,,,WM65YBY
,,MT12UAK,WN11FYG
,LP67FMU,MT12UAK,WN11FYG
864,,,WN14BXC
,,HG18FNZ,WN15UAW
,,,WO08LAK
,,,WO66FSP
,,,WR12CNU
,,,WR19OAB
287,,,WR67VYH
80,,,WU12KYO
849,,,WV13LOJ
1054,,,WV16NKK
736,,,WV18NCP
20,,,WV57CBO
,,,WV60EKG
,,,WV62TWE 
,,,WV66VRZ
106,,,WX13OOJ
72,,,X18DSA
,X20TSS,X20SVR,X20XKR
,,RS63JAG,X33HOP
,,,X40MGB
,,YH10JWL,X4NGD
206,,,X888JSK
908,,,X8XAN
,,,XM11NEL
,,,XR14JAH
,,,Y144YSO
,,,Y22HNS
,,,Y22MAA
1000,,,Y2KWT
70,DW19HMZ,BC17XXL,Y3HSH
68,,KW17WKT,Y587OEV
,,,Y7AJD
966,,YB88BAD,Y888BAD
357,,,YA15EWN
,,OV65SXT ,YA68PJO
58,,,YB12JGX
38,,,YB13BNO
,,,YB14KNA
